Year/Quarter,Abdn - Male - 0-44 (Discharge),Abdn - Male - 45-64 (Discharge),Abdn - Male - 65-74 (Discharge),Abdn - Male - 75 + (Discharge),Abdn - Male - 0-44 (Death),Abdn - Male - 45-64 (Death),Abdn - Male - 65-74 (Death),Abdn - Male - 75 + (Death),Abdn - Female - 0-44 (Discharge),Abdn - Female - 45-64 (Discharge),Abdn - Female - 65-74 (Discharge),Abdn - Female - 75 + (Discharge),Abdn - Female - 0-44 (Death),Abdn - Female - 45-64 (Death),Abdn - Female - 65-74 (Death),Abdn - Female - 75 + (Death),Glagw - Male - 0-44 (Discharge),Glagw - Male - 45-64 (Discharge),Glagw - Male - 65-74 (Discharge),Glagw - Male - 75 + (Discharge),Glagw - Male - 0-44 (Death),Glagw - Male - 45-64 (Death),Glagw - Male - 65-74 (Death),Glagw - Male - 75 + (Death),Glagw - Female - 0-44 (Discharge),Glagw - Female - 45-64 (Discharge),Glagw - Female - 65-74 (Discharge),Glagw - Female - 75 + (Discharge),Glagw - Female - 0-44 (Death),Glagw - Female - 45-64 (Death),Glagw - Female - 65-74 (Death),Glagw - Female - 75 + (Death),Glagw Ozone (ugm-3),Glagw Nitric oxide - (ugm-3),Glagw Nitrogen dioxide - (ugm-3),Glagw Nitrogen oxides as nitrogen dioxide (ugm-3),Glagw PM10 (ugm-3),Glagw Non-volatile PM10 (ugm-3),Glagw Volatile PM10 (ugm-3),Glagw PM2.5 (ugm-3),Glagw Non-volatile PM2.5 (ugm-3),Glagw Volatile PM2.5 (ugm-3),Glagw Black Carbon (ugm-3),Abdn Ozone (ugm-3),Abdn Nitric oxide (ugm-3),Abdn Nitrogen dioxide (ugm-3),Abdn Nitrogen oxides as nitrogen dioxide (ugm-3),Abdn PM10 (ugm-3),Abdn Non-volatile PM10 (ugm-3),Abdn Volatile PM10 (ugm-3),Abdn PM2.5 (ugm-3),Abdn Non-volatile PM2.5 (ugm-3),Abdn Volatile PM2.5 (ugm-3),Abdn qtly mean temp (deg cent),Glagw qtrly mean temp. deg cent
2011-Q1,0,96,96,106,0,11,6,28,7,52,35,136,0,0,0,21,71,434,217,216,0,38,28,55,21,161,131,177,0,13,15,61,28,69,62,167,19,16,3,20,15,4,2,43,16,31,56,15,13,2,10,8,2,5,4
2011-Q2,17,116,62,74,0,17,5,18,11,56,51,98,0,0,7,18,76,392,193,180,0,37,36,44,25,152,90,199,0,7,20,80,48,44,46,113,16,13,3,15,12,3,1,54,6,19,28,14,12,2,9,7,2,10,11
2011-Q3,14,133,69,86,0,7,10,19,15,34,66,95,0,0,0,31,54,381,205,180,0,33,25,53,17,137,95,216,0,10,9,54,32,57,48,135,14,11,3,13,11,2,1,39,7,16,26,11,9,2,7,5,1,13,13
2011-Q4,0,82,76,107,0,5,8,19,0,41,34,121,0,0,5,25,49,393,197,143,0,27,39,59,24,169,125,189,0,6,21,68,29,72,55,165,18,15,3,15,13,3,2,34,13,26,46,14,11,3,9,8,2,8,9
2012-Q1,13,139,93,100,0,8,9,23,6,37,42,96,0,0,0,31,64,401,173,156,0,40,37,60,27,162,129,199,0,12,20,75,32,66,53,155,21,17,4,17,13,4,2,38,16,29,53,15,13,3,10,8,2,6,6
2012-Q2,6,120,115,105,0,5,5,27,5,75,62,97,0,0,5,28,53,420,190,149,5,23,24,62,20,154,124,187,0,12,11,61,48,63,56,152,18,15,3,14,11,3,1,64,2,13,17,12,9,3,7,6,2,8,9
2012-Q3,6,134,89,65,0,8,10,11,0,54,45,109,0,0,0,28,62,376,167,179,0,26,34,47,33,176,100,191,0,0,9,60,29,69,48,154,15,13,2,11,9,2,1,37,6,16,25,12,10,2,8,6,2,13,13
2012-Q4,7,125,77,72,0,5,13,22,0,45,42,99,0,0,0,23,37,371,199,125,0,35,33,46,25,184,142,186,0,0,18,53,41,173,84,348,27,23,3,21,17,3,1,36,15,27,49,11,10,1,8,6,2,6,5
2013-Q1,6,117,59,84,0,10,8,17,0,27,48,69,0,0,7,29,54,425,177,147,0,36,24,48,15,148,124,179,0,6,11,68,41,152,86,320,28,24,4,20,17,4,1,52,12,20,32,18,15,3,10,8,2,3,3
2013-Q2,15,114,66,65,0,0,11,15,0,36,37,59,0,0,0,28,72,463,174,180,6,26,29,45,24,168,157,271,0,13,15,62,41,87,61,193,21,17,4,14,11,3,1,52,4,15,21,14,11,3,9,7,2,8,9
